talker,vowel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15
PL1,ah,-15.627352,-20.442144,-25.124251,-31.622459,-36.302637,-42.407249,-46.958214,-53.199368,-59.448405,-64.795262,-68.461188,-69.925858,-70.878086,-69.6252,-69.800774,-13.201661,-16.186252,-16.423681,-14.317357,-14.564599,-14.408988,-15.313652,-17.885578,-20.469244,-24.220846,-29.680332,-36.072808,-41.702129,-48.284065,-54.494514
PL1,er,-25.473645,-31.629905,-35.726021,-43.546529,-46.802615,-50.59915,-54.146777,-59.653787,-64.692491,-67.542576,-68.563549,-68.700645,-68.305331,-70.104878,-68.520714,8.42972548,7.67194294,5.89112247,7.32016101,7.91514435,7.98131264,6.7373468,5.8609271,2.36963174,-2.7957488,-7.6677911,-13.994521,-19.800475,-23.950221,-29.393386
PL3,iy,-10.522054,-14.466373,-19.313016,-24.452898,-30.690475,-36.436386,-43.416836,-47.96132,-51.391248,-53.094971,,,,,,-8.4335763,-5.595748,-1.1685605,2.04351468,3.54881218,4.24965524,2.67666822,-2.6560193,-8.343405,-12.561415,,,,,
PL3,ih,-9.0955086,-14.031885,-20.402287,-27.141605,-32.217219,-37.960119,-44.947152,-50.022272,-53.197713,-55.058476,,,,,,-10.121455,-8.908086,-7.942926,-5.6856969,-5.0387975,-4.3136921,-5.8571821,-10.445028,-14.984938,-19.762183,,,,,
PL3,ey,-6.4630181,-11.282857,-16.805764,-23.16085,-28.226561,-33.749468,-40.989692,-46.924149,-50.571622,-52.241532,,,,,,-12.727322,-10.485477,-8.7825324,-4.8727963,-3.8565272,-2.1535828,-2.6559174,-5.970014,-11.017821,-15.9524,,,,,
PL3,eh,-6.1722032,-12.514123,-19.575468,-25.625999,-30.28323,-36.577105,-42.849766,-47.729126,-51.268846,-53.452703,,,,,,-14.832132,-14.253097,-13.446318,-10.971073,-11.321114,-10.071947,-12.140372,-17.034083,-21.598968,-25.753287,,,,,
PL3,ae,-8.9965665,-14.048635,-21.545252,-26.236596,-32.510938,-37.702626,-43.866115,-48.900129,-53.078611,-55.324804,,,,,,-14.947256,-13.865203,-12.259576,-9.8912163,-8.5473758,-8.1172029,-9.4390164,-14.241214,-18.630088,-22.751036,,,,,
PL3,aa,-9.9104445,-15.101652,-22.736828,-28.077269,-34.060545,-39.68167,-46.480802,-51.827251,-56.109601,-59.582342,,,,,,-15.937455,-15.50153,-14.539324,-12.025425,-12.100883,-10.890435,-11.983611,-15.435445,-19.88361,-23.738927,,,,,
PL3,ao,-11.838877,-17.740977,-25.070339,-31.765567,-36.955206,-43.080611,-49.331564,-55.768565,-60.333292,-63.918844,,,,,,-15.492306,-15.564487,-15.92121,-13.772264,-13.318029,-11.293894,-12.569292,-15.083569,-18.007935,-21.914552,,,,,
PL3,uw,-11.109837,-16.310084,-23.841825,-29.880985,-34.89042,-41.085216,-47.746917,-54.177949,-59.017704,-61.822937,,,,,,-10.696581,-10.386575,-8.9547292,-6.3646022,-5.497093,-3.7256332,-4.4101759,-7.0047319,-11.937615,-15.984894,,,,,
PL3,ah,-10.914859,-16.111593,-23.22064,-29.380224,-34.823195,-41.817332,-47.50654,-53.4584,-58.773076,-60.983147,,,,,,-15.82659,-15.462412,-15.308987,-13.391371,-14.252695,-13.527369,-15.614195,-19.008222,-22.615277,-26.846131,,,,,
