,speaker,index,word,time,word.dur,voicing.dur,vowel.dur,cluster.dur,spreading.dur,sonorant.dur,closure.dur,vor,voffr,mor,cond_no,ipa,cons1,vowel,height,anteroposterior,roundness,consonant,manner,place,aspiration,syllables,syl_structure,gloss,pos,comp,contx
12,jj04,62,hefna,214.0733965,448.886533,59.23483214,69.23483214,113.3345931,NA,NA,113.3345931,172.5694252,113.3345931,NA,53,hepna,fri,e,mid,front,unrounded,p,stop,labial,no,di,cvccv,avenge,v,x,cx
13,bte03,4,gogg,64.25130385,557.2902494,100.4725094,110.4725094,237.5026807,NA,NA,237.5026807,337.9751901,237.5026807,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
14,shg05,100,detta,272.5059501,389.5897621,88.61912581,76.78130189,186.1688897,73.19979844,95.03762236,91.13126732,252.9501916,164.3310658,186.1688897,27,teʰta,nasp,e,mid,front,unrounded,ʰt,stop,coronal,yes,di,cvccv,fall,v,c,cc
15,jj04,135,kagga,461.474675,487.9253924,70.72845805,80.72845805,148.0697279,NA,NA,148.0697279,218.7981859,148.0697279,NA,26,kʰakka,asp,a,low,front,unrounded,kk,stop,velar,no,di,cvccv,barrel,n,c,cc
16,shg05,34,kamp,94.07574981,340.9595907,100.5723159,78.56221655,133.6073656,66.42638836,98.43648769,35.17087787,202.1695821,101.5972662,133.6073656,29,kʰam̥p,asp,a,low,front,unrounded,m̥,nasal,labial,yes,mono,cvnc,moustache,n,c,cc
17,bte03,59,gelda,373.9616395,541.5586272,190.7809651,109.8375132,203.9471754,14.81756339,105.7610153,98.18616013,303.7846886,113.0037235,203.9471754,48,celta,nasp,e,mid,front,unrounded,l,lateral,coronal,no,di,cvlcv,castrate,v,c,cc
18,tt01,67,punta,210.3130365,561.2465098,94.98860736,69.49563061,253.1738075,134.7632193,170.256196,82.91761149,312.6694381,217.6808308,253.1738075,39,pʰʏn̥ta,asp,ʏ,high,front,round,n̥,nasal,coronal,yes,di,cvncv,decoration,n,c,cc
19,jj04,96,gelta,305.4184061,465.5910941,109.5462928,94.69943135,211.9127404,84.10669531,108.9535567,102.9591837,296.6121718,187.065879,211.9127404,47,cel̥ta,nasp,e,mid,front,unrounded,l̥,lateral,coronal,yes,di,cvlcv,bark,v,c,cc
20,bte03,10,kembdi,103.1605159,551.65694,223.9265965,109.0427085,220.6285431,0,124.8838881,95.744655,319.6712515,95.744655,220.6285431,34,cʰemtɪ,asp,e,mid,front,unrounded,m,nasal,labial,no,di,cvccv,comb,v,c,cc
21,tt01,66,punta,207.4313697,573.3204572,91.94748772,76.91258586,264.2074233,142.8732017,167.9081036,96.29931973,331.1200092,239.1725215,264.2074233,39,pʰʏn̥ta,asp,ʏ,high,front,round,n̥,nasal,coronal,yes,di,cvncv,decoration,n,c,cc
22,shg05,65,kafli,180.8093175,360.399093,58.70417081,68.70417081,109.3726379,NA,NA,109.3726379,168.0768088,109.3726379,NA,57,kʰaplɪ,asp,a,low,front,unrounded,p,stop,labial,no,di,cvccv,part,n,x,cx
23,brs02,112,gelda,362.4212549,506.7478629,214.1377747,118.3534662,176.1668862,0,105.7843084,70.38257775,284.5203524,70.38257775,176.1668862,48,celta,nasp,e,mid,front,unrounded,l,lateral,coronal,no,di,cvlcv,castrate,v,c,cc
24,tt01,167,gelda,510.1433367,491.205487,190.831848,125.7659623,193.976905,22.69215597,97.75804167,96.21886333,309.7428673,118.9110193,193.976905,48,celta,nasp,e,mid,front,unrounded,l,lateral,coronal,no,di,cvlcv,castrate,v,c,cc
25,shg05,19,kamba,51.80290816,421.8575208,171.240043,87.59491831,157.2088229,0,93.64512472,63.56369821,234.8037412,63.56369821,157.2088229,36,kʰampa,asp,a,low,front,unrounded,m,nasal,labial,no,di,cvncv,comb,n,c,cc
